latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.9789104,125.04697,622.0,28800,Asia/Singapore,GMT+8

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),relative_humidity_2m (%),precipitation (mm)
2024-01-01T00:00,22.1,4.3,336,89,0.00
2024-01-01T01:00,21.5,4.2,329,88,0.00
2024-01-01T02:00,21.2,4.5,331,85,0.00
2024-01-01T03:00,21.1,6.3,347,83,0.00
2024-01-01T04:00,21.0,5.4,356,81,0.00
2024-01-01T05:00,20.9,6.2,324,79,0.00
2024-01-01T06:00,20.8,5.8,356,81,0.00
2024-01-01T07:00,23.5,6.2,350,72,0.00
2024-01-01T08:00,25.0,6.8,65,73,0.00
2024-01-01T09:00,25.8,8.0,82,80,0.00
2024-01-01T10:00,25.6,5.1,315,81,0.20
2024-01-01T11:00,26.2,8.6,57,78,0.50
2024-01-01T12:00,26.9,6.4,344,76,0.40
2024-01-01T13:00,26.2,8.4,20,85,8.10
2024-01-01T14:00,26.8,8.4,50,80,1.60
2024-01-01T15:00,26.0,5.0,30,81,3.30
2024-01-01T16:00,25.6,8.5,62,80,0.10
2024-01-01T17:00,24.7,5.9,349,85,0.00
2024-01-01T18:00,23.8,4.0,5,89,0.00
2024-01-01T19:00,23.0,3.6,360,92,0.00
2024-01-01T20:00,22.8,3.6,354,92,0.00
2024-01-01T21:00,23.2,4.3,355,91,0.00
2024-01-01T22:00,22.5,3.8,343,93,0.00
2024-01-01T23:00,22.5,4.0,355,91,0.00
2024-01-02T00:00,22.0,4.0,355,92,0.00
2024-01-02T01:00,21.6,5.0,339,91,0.00
2024-01-02T02:00,21.9,4.7,4,90,0.00
2024-01-02T03:00,21.8,5.9,349,88,0.00
2024-01-02T04:00,22.1,4.7,32,88,0.00
2024-01-02T05:00,21.4,4.3,42,93,0.00
2024-01-02T06:00,22.0,6.2,324,90,0.40
2024-01-02T07:00,22.5,2.6,344,87,1.10
2024-01-02T08:00,23.2,6.5,341,85,0.40
2024-01-02T09:00,24.8,4.7,351,73,0.20
2024-01-02T10:00,25.8,6.2,10,71,0.20
2024-01-02T11:00,25.8,6.5,19,74,0.10
2024-01-02T12:00,25.9,6.5,34,76,0.10
2024-01-02T13:00,25.4,5.2,16,79,0.60
2024-01-02T14:00,25.9,6.8,357,76,0.20
2024-01-02T15:00,26.4,7.2,3,72,0.00
2024-01-02T16:00,26.0,5.8,360,74,0.00
2024-01-02T17:00,25.4,3.6,45,81,0.00
2024-01-02T18:00,22.9,4.7,360,91,0.00
2024-01-02T19:00,22.5,3.9,338,89,0.00
2024-01-02T20:00,22.2,4.5,331,88,0.00
2024-01-02T21:00,22.4,6.2,339,84,0.00
2024-01-02T22:00,22.8,4.0,350,81,0.00
2024-01-02T23:00,22.7,3.4,328,80,0.00
2024-01-03T00:00,21.7,5.0,339,84,0.00
2024-01-03T01:00,21.3,5.6,345,86,0.00
2024-01-03T02:00,20.9,5.6,345,87,0.00
2024-01-03T03:00,21.0,5.2,348,86,0.00
2024-01-03T04:00,21.0,5.2,326,85,0.00
2024-01-03T05:00,21.3,4.7,351,82,0.00
2024-01-03T06:00,20.5,6.4,344,87,0.00
2024-01-03T07:00,23.3,5.4,352,79,0.00
2024-01-03T08:00,24.7,4.3,24,78,0.00
2024-01-03T09:00,24.6,3.9,22,80,0.00
2024-01-03T10:00,25.8,5.2,34,76,0.10
2024-01-03T11:00,26.3,7.0,55,76,0.00
2024-01-03T12:00,27.0,6.0,33,75,0.00
2024-01-03T13:00,27.4,8.5,62,75,0.30
2024-01-03T14:00,27.0,5.6,40,75,0.10
2024-01-03T15:00,26.9,6.4,63,77,0.00
2024-01-03T16:00,26.4,6.1,93,79,0.00
2024-01-03T17:00,25.4,3.6,45,85,0.00
2024-01-03T18:00,24.8,3.6,360,87,0.00
2024-01-03T19:00,24.0,3.6,354,89,0.00
2024-01-03T20:00,23.4,3.2,333,90,0.00
2024-01-03T21:00,23.1,8.0,333,92,1.10
2024-01-03T22:00,23.2,6.7,306,90,0.50
2024-01-03T23:00,23.0,4.1,322,91,0.10
2024-01-04T00:00,22.3,3.4,328,93,0.00
2024-01-04T01:00,21.9,2.8,320,92,0.00
2024-01-04T02:00,21.2,3.9,338,92,0.00
2024-01-04T03:00,20.9,4.7,337,91,0.00
2024-01-04T04:00,20.7,5.2,335,89,0.00
2024-01-04T05:00,20.8,5.8,356,87,0.00
2024-01-04T06:00,20.5,6.2,7,87,0.00
2024-01-04T07:00,22.8,5.8,7,83,0.00
2024-01-04T08:00,24.1,4.6,18,80,0.00
2024-01-04T09:00,25.5,5.2,12,73,0.00
2024-01-04T10:00,26.4,6.7,16,72,0.00
2024-01-04T11:00,27.0,7.4,39,71,0.00
2024-01-04T12:00,27.5,6.8,25,71,0.00
2024-01-04T13:00,28.1,6.6,22,68,0.00
2024-01-04T14:00,28.2,7.5,35,65,0.00
2024-01-04T15:00,27.9,6.2,54,67,0.00
2024-01-04T16:00,27.4,8.3,72,70,0.00
2024-01-04T17:00,25.9,8.1,77,78,0.00
2024-01-04T18:00,23.9,5.5,58,88,0.00
2024-01-04T19:00,23.6,2.1,329,90,0.00
2024-01-04T20:00,23.4,3.4,342,89,0.00
2024-01-04T21:00,23.8,4.5,346,86,0.00
2024-01-04T22:00,23.0,4.3,336,89,0.00
2024-01-04T23:00,22.2,3.7,331,88,0.00
2024-01-05T00:00,21.1,4.7,351,88,0.00
2024-01-05T01:00,20.6,5.7,18,87,0.00
