Flight time,Location,Aircraft name,Task Type,Sprayed area,Total Amount(L/Kg),Flight duration(min:sec),Crop,Pliot Name,Team Name,Field Name,Serial Number,Starting Battery Level,Ending Battery Level,Battery SN,source_file
2024-01-03 07:07:10-07:13:58,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.19,9.83,6:48,other,UTPL,default team,,R1296620062,99,17,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 07:16:20-07:23:57,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,15.45,20.68,7:37,other,UTPL,default team,,R1356687703,100,10,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 07:26:09-07:35:31,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,22.81,30.52,9:22,other,UTPL,default team,,R1436777891,100,10,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 07:38:44-07:47:44,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,22.65,30.25,9:00,other,UTPL,default team,,R1496845532,100,21,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 07:55:07-07:58:48,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.13,9.62,3:41,other,UTPL,default team,,R1657025908,100,58,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 07:58:48-08:03:26,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,9.46,12.63,4:38,other,UTPL,default team,,R1697071002,58,15,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 08:06:37-08:11:45,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,5.48,9.57,5:08,other,UTPL,default team,,R1737116096,100,66,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 08:43:51-08:51:29,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,16.82,23.22,7:38,other,UTPL,default team,,R1837228831,99,21,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 08:53:21-09:01:25,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,22.9,31.26,8:04,other,UTPL,default team,,R1917319019,100,30,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 09:05:15-09:13:40,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,24.34,33.22,8:25,other,UTPL,default team,,R1997409207,100,24,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 09:15:51-09:24:33,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,24.73,33.7,8:42,other,UTPL,default team,,R2137567036,100,25,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 09:26:45-09:35:41,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,23.54,32.07,8:56,other,UTPL,default team,,R2177612130,100,21,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 09:38:06-09:47:19,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,24.61,33.56,9:13,other,UTPL,default team,,R2277724865,100,18,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 09:49:30-09:57:15,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,19.09,26.05,7:45,other,UTPL,default team,,R2377837600,100,38,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 09:59:04-10:06:33,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,15.21,20.75,7:29,other,UTPL,default team,,R2437905241,100,41,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 10:11:39-10:20:13,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,22.51,30.26,8:34,other,UTPL,default team,,R2598085617,99,21,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 10:22:32-10:30:52,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,22.26,29.96,8:20,other,UTPL,default team,,R2678175805,100,31,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 10:33:22-10:42:09,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,23.4,31.48,8:47,other,UTPL,default team,,R2798311087,100,23,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 10:44:13-10:53:28,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,24.23,32.46,9:15,other,UTPL,default team,,R2878401275,100,19,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 11:05:18-11:14:16,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,22.72,30.49,8:58,other,UTPL,default team,,R2958491463,100,21,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-03 11:34:53-11:44:47,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,24.65,29.47,9:54,other,UTPL,default team,,R3038581651,99,8,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-04 06:28:59-06:33:27,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,8.78,11.85,4:28,other,UTPL,default team,,R3098649292,99,53,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-04 06:33:27-06:36:45,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,5.41,7.35,3:18,other,UTPL,default team,,R3158716933,53,25,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
2024-01-04 06:42:25-06:46:27,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,5.93,8.01,4:02,other,UTPL,default team,,R3278852215,99,58,,MKAVI1 T40 RPU028B_JAN_2024_Automode__flight_record.csv
