Flight time,Location,Aircraft name,Task Type,Sprayed area,Total Amount(L/Kg),Flight duration(min:sec),Crop,Pliot Name,Team Name,Field Name,Serial Number,Starting Battery Level,Ending Battery Level,Battery SN,source_file
2024-02-27 23:02:17-23:03:10,"Dabongdabong, Valencia, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,0.63,2.15,00:52,other,UTPL,default team,,R8141472778,56.0,50.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-27 22:34:57-22:36:00,"Valencia Bypass Road, Dabongdabong, Valencia, Bukidnon, Northern Mindanao, 8709088, Philippines",T40 Drone 2,Spraying,2.39,3.21,01:03,other,UTPL,default team,,R7861157120,72.0,66.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-27 18:12:18-18:14:07,"Kaatuan, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,0.56,2.49,01:49,other,UTPL,default team,,R7563767665,26.0,13.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-27 16:51:17-16:52:41,"Kaatuan, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.3,4.14,01:23,other,UTPL,default team,,R7443632383,45.0,36.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-27 08:02:32-08:03:44,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.22,4.44,01:12,other,UTPL,default team,,R7243406913,29.0,21.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-27 07:46:52-07:48:56,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.73,8.32,02:03,other,UTPL,default team,,R7143294178,46.0,28.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-26 18:18:47-18:26:03,"Kaatuan, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,6.52,22.18,07:16,other,UTPL,default team,,R2634044258,100.0,41.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-26 07:47:11-07:51:53,"Kaatuan, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.2,25.79,04:42,other,UTPL,default team,,R2253615865,99.0,29.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-25 09:05:15-09:07:37,"Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.63,8.96,02:22,other,UTPL,default team,,R2053390395,69.0,52.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-25 08:32:46-08:34:53,"Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,0.73,2.74,02:06,other,UTPL,default team,,R1933255113,64.0,50.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
2024-02-25 08:17:10-08:18:50,"Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.42,5.79,01:40,other,UTPL,default team,,R1873187472,71.0,60.0,,MKAVI1 T40 RPU028B_FEB_2024_ManualMode__flight_record.csv
