latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.838313,125.14066,313.0,28800,Asia/Singapore,GMT+8

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),relative_humidity_2m (%),precipitation (mm)
2024-01-01T00:00,24.4,7.9,60,92,0.00
2024-01-01T01:00,24.2,7.8,68,91,0.00
2024-01-01T02:00,24.0,7.5,73,91,0.00
2024-01-01T03:00,23.2,7.0,69,94,0.00
2024-01-01T04:00,22.8,8.6,68,96,0.00
2024-01-01T05:00,22.4,8.1,69,97,0.00
2024-01-01T06:00,22.1,9.8,73,98,0.00
2024-01-01T07:00,24.1,8.4,43,94,0.00
2024-01-01T08:00,26.4,10.5,38,84,0.00
2024-01-01T09:00,28.1,12.7,29,78,0.10
2024-01-01T10:00,28.1,8.9,14,76,0.10
2024-01-01T11:00,29.4,13.0,42,72,0.10
2024-01-01T12:00,29.7,14.2,36,71,0.10
2024-01-01T13:00,29.7,14.4,37,72,0.20
2024-01-01T14:00,28.3,16.1,40,76,1.80
2024-01-01T15:00,28.1,13.0,39,75,0.20
2024-01-01T16:00,27.4,13.0,48,78,0.00
2024-01-01T17:00,26.7,10.0,26,81,0.00
2024-01-01T18:00,25.8,10.0,41,83,0.00
2024-01-01T19:00,25.4,8.4,50,84,0.00
2024-01-01T20:00,25.1,8.9,40,86,0.00
2024-01-01T21:00,24.8,8.6,57,89,0.00
2024-01-01T22:00,24.9,6.1,40,88,0.00
2024-01-01T23:00,24.7,7.8,56,90,0.00
2024-01-02T00:00,24.3,7.2,53,91,0.00
2024-01-02T01:00,24.0,5.3,62,92,0.00
2024-01-02T02:00,24.0,3.7,79,91,1.10
2024-01-02T03:00,24.0,6.6,68,93,0.10
2024-01-02T04:00,24.1,5.9,79,92,0.70
2024-01-02T05:00,24.1,3.4,32,92,0.40
2024-01-02T06:00,23.9,5.2,16,94,1.20
2024-01-02T07:00,23.9,10.7,45,93,0.50
2024-01-02T08:00,24.5,11.9,29,91,0.90
2024-01-02T09:00,25.6,12.6,27,85,0.50
2024-01-02T10:00,26.4,13.6,32,83,0.40
2024-01-02T11:00,26.9,12.2,34,80,0.30
2024-01-02T12:00,26.9,10.6,24,80,0.30
2024-01-02T13:00,26.5,9.0,29,83,0.80
2024-01-02T14:00,26.9,8.2,29,82,0.20
2024-01-02T15:00,27.2,9.4,40,80,0.00
2024-01-02T16:00,26.9,7.7,49,84,0.20
2024-01-02T17:00,26.7,4.9,54,84,0.10
2024-01-02T18:00,25.4,5.4,53,87,0.00
2024-01-02T19:00,24.6,6.8,58,90,0.00
2024-01-02T20:00,24.4,7.7,53,91,0.00
2024-01-02T21:00,24.1,7.1,66,92,0.00
2024-01-02T22:00,23.8,7.3,70,94,0.00
2024-01-02T23:00,23.8,6.5,71,94,0.00
2024-01-03T00:00,23.7,6.3,66,95,0.00
2024-01-03T01:00,23.3,7.6,65,97,0.00
2024-01-03T02:00,23.2,8.0,63,97,0.00
2024-01-03T03:00,23.1,8.4,59,98,0.00
2024-01-03T04:00,23.2,7.8,68,97,0.00
2024-01-03T05:00,23.2,6.3,66,96,0.00
2024-01-03T06:00,23.0,6.8,65,97,0.00
2024-01-03T07:00,24.4,7.7,49,93,0.00
2024-01-03T08:00,26.2,8.4,25,86,0.00
2024-01-03T09:00,26.6,7.2,360,84,0.30
2024-01-03T10:00,27.7,8.4,7,79,0.30
2024-01-03T11:00,28.8,10.8,26,73,0.20
2024-01-03T12:00,29.6,11.1,29,70,0.10
2024-01-03T13:00,29.6,10.3,29,69,0.10
2024-01-03T14:00,29.4,10.6,10,69,0.00
2024-01-03T15:00,28.8,10.3,25,71,0.00
2024-01-03T16:00,28.7,5.5,11,73,0.00
2024-01-03T17:00,27.6,3.2,360,83,0.00
2024-01-03T18:00,26.5,3.6,354,88,0.00
2024-01-03T19:00,25.2,3.6,53,91,0.00
2024-01-03T20:00,24.8,3.1,69,92,0.00
2024-01-03T21:00,25.1,3.2,27,91,0.00
